Isla	Estudio	Pradera	Sitio	Lat	Long	Profundidad	Fecha	Cober	Densidad 	Longitud	ZEC
Tenerife	CIMA	Granadilla	BU14-inicio	28,0907	-16,4860	7	12/05/2004		364,8	15,36	no
Gran Canaria	Perez1996	Roque.Arinaga		27,8639	-15,3800	14	01/02/1996		1180	15,4	no
Lanzarote	CCV	Playa.Blanca	A	28,8598	-13,8273	6	10/10/2004	98,2	784	15,5	no
Lanzarote	CCV	Playa.Blanca	A	28,8598	-13,8273	8	14/10/2003	100	322	15,5	no
Fuerteventura	CCV	Guinijinamar	A	28,1984	-14,0733	5	14/03/2005	100	396	15,5	si
Gran Canaria	Perez1996	Risco.Verde		27,8589	-15,3861	8	01/03/1995		1942	15,5	no
Lanzarote	Barberá.et.al.2005	Playa.Quemada	B	28,9043	-13,7367	6	01/03/2003	76 ,2	282	15,6	no
Fuerteventura	CCV	Corralejo	B	28,6691	-13,8298	14	14/10/2003	100	358	15,6	si
Gran Canaria	Perez1996	Arinaga	media	27,8508	-15,3975	6	01/01/1995		1390	15,6	no
Tenerife	CIMA	Granadilla	BU10-final	28,0562	-16,5118	20,6	01/09/2008		256	15,68	no
Tenerife	OAG	Tarajales	TGr05	28,0882	-16,4859	12	01/09/2019		330	15,7	no
Lanzarote	Tuya et.al.2006	Playa.Dorada	A	28,8583	-13,8233	6	01/07/2001	100	805	15,8	no
Gran Canaria	Perez1996	Gando	castillo	27,9313	-15,3706	7	01/09/1994		1282	15,8	si
Gran Canaria	Perez1996	Gando	interna	27,9317	-15,3717	4	01/08/1994		1510	15,8	si
Tenerife	OAG	La.Caleta	TGr04	28,0986	-16,4723	16	04/04/2012	33	437	15,8	si
Lanzarote	Barberá.et.al.2005	Playa.Quemada	A	28,9043	-13,7367	8	01/03/2003	94 ,0	384	15,9	no
Gran Canaria	PVA.Manc.Sureste	Arinaga	Arinaga	27,8531	-15,3965	8,9	15/11/2012	93,2	284,8	16	no
Gran Canaria	Perez1996	Tufia		27,9667	-15,3783	7	01/08/1994		1460	16	no
Tenerife	OAG	Medio	TGr10	28,0715	-16,5008	14	13/03/2012	66	768	16	no
Tenerife	OAG	Tejita	TGr22	28,0277	-16,5600	12	01/01/2018		560	16	si
Tenerife	CIMA	Igueste	IG-4	28,5173	-16,1612	15	01/04/2007		328	16,2	si
Tenerife	OAG	Charcón	TGr14	28,0608	-16,5088	14	01/01/2021		1008	16,2	si
Lanzarote	Rogelio	Pocillos		28,9230	-13,6327	10	01/06/2013	60	1075,2	16,20111111	si
